번호,개방서비스명,소재지전화,도로명전체주소,사업장명,업태구분명,진료과목내용명
205,의원,031-353-7588,"경기도 화성시 만세구 향남읍 삼천병마로 189, 1, 3층",서울정형외과의원,의원,내과 정형외과 신경외과 재활의학과 영상의학과 외과 소아청소년과 이비인후과 피부과 비뇨의학과
206,의원,031-353-1122,경기도 화성시 만세구 향남읍 삼천병마로 189,화성한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
207,의원,031-355-2168,경기도 화성시 만세구 남양읍 남양성지로 113,제일성모의원,의원,내과 소아청소년과 이비인후과 피부과 비뇨의학과 정형외과 외과 신경과 영상의학과 산부인과 안과
208,의원,031-356-2831,경기도 화성시 만세구 남양읍 남양성지로 141,남양서울치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 치주과 치과보존과 영상치의학과
209,의원,031-358-7700,경기도 화성시 만세구 우정읍 3.1만세로 51-1,조암정형외과의원,의원,내과 정형외과 소아청소년과 외과 신경외과 재활의학과
210,의원,031-351-7575,"경기도 화성시 만세구 우정읍 조암서로 3, 1층일부,4층일부층",우리의원,의원,피부과 정형외과 외과 내과
211,의원,031-357-7588,경기도 화성시 만세구 송산면 사강로 212,사강정형외과의원,의원,내과 정형외과 소아청소년과 외과 신경외과
212,의원,031-353-5321,경기도 화성시 만세구 향남읍 평2길 21,현대치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
213,의원,031-351-2875,"경기도 화성시 만세구 우정읍 조암서로 1, 3층",뿌리깊은치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
214,의원,031-356-2381,"경기도 화성시 만세구 남양읍 남양시장로 80, 2층",성심의원,의원,내과 정형외과 피부과 소아청소년과 이비인후과 가정의학과
215,의원,031-358-9048,경기도 화성시 만세구 우정읍 조암서로 1,권내과의원,의원,내과 소아청소년과 비뇨의학과 피부과 이비인후과
216,의원,031-357-8205,경기도 화성시 만세구 송산면 사강로 201,중심한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
217,의원,031-352-3711,"경기도 화성시 만세구 향남읍 발안로 103-6, 3층",발안제일의원,의원,심장혈관흉부외과 정형외과 내과 소아청소년과 피부과
218,의원,031-353-8486,"경기도 화성시 만세구 향남읍 삼천병마로 189, 2층",고동혁내과의원,의원,내과 소아청소년과
219,의원,031-358-8485,"경기도 화성시 만세구 우정읍 조암남로 15, 2층",강치과의원,치과의원,통합치의학과
220,의원,031-356-2875,"경기도 화성시 만세구 남양읍 남양성지로 113, 2층 ",백서기치과의원,치과의원,치과
221,의원,031-353-8275,경기도 화성시 만세구 향남읍 3.1만세로 1118,김관호한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
222,의원,031-351-1500,경기도 화성시 만세구 우정읍 조암남로 3-3,구인한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
223,의원,031-352-0010,"경기도 화성시 만세구 향남읍 향남로 392, 401호",세브란스치과의원,치과의원,치과보존과 구강병리과 구강악안면외과 통합치의학과 치주과 치과교정과 소아치과 영상치의학과 구강내과 치과보철과 예방치과
224,의원,031-354-6915,"경기도 화성시 만세구 팔탄면 푸른들판로 670, 2층 일부호",참사랑내과의원,의원,가정의학과 병리과 영상의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 신경외과 정형외과 외과 신경과 내과
225,의원,031-353-5969,경기도 화성시 만세구 향남읍 삼천병마로 230,씨엘산부인과의원,의원,산부인과
226,의원,031-354-2875,"경기도 화성시 만세구 향남읍 삼천병마로 189, 2층",현용철치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
227,의원,031-352-7574,경기도 화성시 만세구 향남읍 평2길 11,발안한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
228,의원,031-358-7575,경기도 화성시 만세구 우정읍 조암남로33번길 5,조암성모의원,의원,내과 외과
229,의원,031-356-7878,"경기도 화성시 만세구 남양읍 남양성지로 111, 1층",남양한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
230,의원,031-351-6565,경기도 화성시 만세구 우정읍 3.1만세로 33,조암동의보감한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
231,의원,031-352-5871,경기도 화성시 만세구 향남읍 삼천병마로 177 (1~3층),성모정형외과의원,의원,정형외과
232,의원,031-357-1503,경기도 화성시 만세구 송산면 송산포도로 102-10,제일의원,의원,내과 외과
233,의원,031-353-1163,경기도 화성시 만세구 향남읍 평4길 6-5,경성의원,의원,내과 외과
234,병원,031-1800-8119,"경기도 화성시 만세구 향남읍 발안로 68, 신박메디컬빌딩 425-9외1필지동 2~5층",에이비씨병원,병원,내과 정형외과 신경외과 마취통증의학과 영상의학과
235,병원,031-355-0081,경기도 화성시 만세구 서신면 해양공단로 24-3,의료법인 시몬의료재단 우리가병원,병원,가정의학과 재활의학과 소아청소년과 내과
236,병원,031-356-4000,"경기도 화성시 만세구 남양읍 시청로 11, 1,2층 일부 및 3~5층호",의료법인 신명진의료재단 퍼스트힐화성병원,병원,내과 신경과 마취통증의학과 재활의학과 가정의학과
237,병원,1600-5982,"경기도 화성시 만세구 남양읍 시청로160번길 46-13, 1,3~8층",화성디에스병원,병원,응급의학과 직업환경의학과 가정의학과 재활의학과 진단검사의학과 영상의학과 비뇨의학과 피부과 이비인후과 소아청소년과 산부인과 마취통증의학과 심장혈관흉부외과 신경외과 정형외과 외과 신경과 내과
238,병원,031-233-9114,"경기도 화성시 만세구 향남읍 상신하길로298번길 11, 6일부,8,9,10층",의료법인 은혜와감사의료재단 향남스마트병원,병원,재활의학과 소아청소년과 신경외과 내과
239,병원,031-319-0119,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-27, 3-6(5,6일부)층",수앤수병원,병원,성형외과 정형외과 내과
240,병원,031-350-0001,경기도 화성시 만세구 팔탄면 버들로 1576,연세나은요양병원,요양병원(일반요양병원),한방내과 직업환경의학과 가정의학과 재활의학과 소아청소년과 심장혈관흉부외과 신경외과 정형외과 신경과 내과
241,병원,031-355-1872,경기도 화성시 만세구 마도면 화성로888번길 42,상록요양병원,요양병원(일반요양병원),내과 외과 정형외과 산부인과 가정의학과 한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과 한방응급과
242,병원,031-351-3083,경기도 화성시 만세구 우정읍 쌍봉로 465-4,근로복지공단 경기요양병원,요양병원(일반요양병원),신경과 재활의학과 가정의학과
243,병원,031-352-0885,경기도 화성시 만세구 양감면 사격장길 133-25,의료법인 승민의료재단 화성초록병원,정신병원,정신건강의학과
244,병원,031-366-7585,경기도 화성시 만세구 마도면 화성로 848-16,의료법인 정도의료재단 아미고병원,정신병원,가정의학과 정신건강의학과 신경과 내과
245,병원,031-355-0119,경기도 화성시 만세구 남양읍 남양로920번길 6,화성유일병원,종합병원,피부과 가정의학과 영상의학과 외과 정형외과 산부인과 신경외과 소아청소년과 내과 신경과 진단검사의학과 마취통증의학과
246,병원,031-352-8114,경기도 화성시 만세구 향남읍 발안로 5,의료법인 은혜와감사의료재단 화성중앙종합병원,종합병원,내과 소아청소년과 외과 정형외과 신경외과 마취통증의학과 영상의학과 진단검사의학과 이비인후과
247,병원,031-356-8881,"경기도 화성시 만세구 꽃내음1길 5-4, 3~4층 3층(304~310호), 4층전체호 (새솔동)",새솔한방병원,한방병원,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 가정의학과
248,병원,031-353-3829,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-29, 4층, 5층 501호일부",다래한방병원,한방병원,소아청소년과 한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
249,병원,031-613-3700,"경기도 화성시 만세구 남양읍 남양중앙로 293, 4,5층",남양한방병원,한방병원,내과 한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방재활의학과 침구과
250,병원,031-356-8275,"경기도 화성시 만세구 향남읍 발안양감로 187, 4,5층",화성한방병원,한방병원,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 가정의학과
251,약국,000-000-0000,경기도 화성시 만세구 향남읍 초록로 879,중앙약국,약국,자료미집계
252,약국,000-000-0000,"경기도 화성시 만세구 남양읍 역골동로 108, 107호",피앤디약국,약국,자료미집계
253,약국,031-366-5469,경기도 화성시 만세구 향남읍 솔태상두길 26,상두늘푸른약국,약국,자료미집계
254,약국,031-354-9066,"경기도 화성시 만세구 팔탄면 버들로 1349, 102호",새대신약국,약국,자료미집계
255,약국,000-000-0000,경기도 화성시 만세구 마도면 마도공단로 252,세계로약국,약국,자료미집계
256,약국,070-5088-3595,"경기도 화성시 만세구 남양읍 남양성지로 123, 삼기프라자 2층 3호",신한약국,약국,자료미집계
257,약국,000-000-0000,"경기도 화성시 만세구 서신면 매화2길 8, 1층",서신 토매당 약국,약국,자료미집계
258,약국,031-8047-5022,"경기도 화성시 만세구 수노을중앙로 122, 101호 (새솔동)",잘 듣는 튼튼약국,약국,자료미집계
259,약국,031-8055-8465,"경기도 화성시 만세구 향남읍 상신하길로 326, 303-2호",다나약국,약국,자료미집계
260,약국,000-000-0000,"경기도 화성시 만세구 향남읍 발안로 101, 정 메디 프라자 101호",향남중앙약국,약국,자료미집계
261,약국,070-4639-0330,"경기도 화성시 만세구 남양읍 화성시청역로 7, 212동 206호 (화성시청역 센트럴파크스타힐스 2단지)",스타힐스 행운약국,약국,자료미집계
262,약국,031-357-2358,"경기도 화성시 만세구 남양읍 남양로 839, 106호",슬기약국,약국,자료미집계
263,약국,031-354-6699,"경기도 화성시 만세구 향남읍 상신하길로 66, 102호",상신드림약국,약국,자료미집계
264,약국,031-354-6310,"경기도 화성시 만세구 향남읍 발안로 68, 104호",강남약국,약국,자료미집계
265,약국,000-000-0000,경기도 화성시 만세구 우정읍 남양만로 868,메디팜성지약국,약국,자료미집계
266,약국,031-366-5601,경기도 화성시 만세구 팔탄면 3.1만세로 768,매곡365약국,약국,자료미집계
267,약국,031-366-1509,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-29, 114호",나라약국,약국,자료미집계
268,약국,031-356-3396,경기도 화성시 만세구 송산면 송산포도로 103,송산봄약국,약국,자료미집계
269,약국,031-357-6310,"경기도 화성시 만세구 수노을중앙로 146, 108호 (새솔동)",송산미소약국,약국,자료미집계
270,약국,031-8055-8669,"경기도 화성시 만세구 수노을중앙로 136, 106호 (새솔동)",보듬약국,약국,자료미집계
271,약국,000-000-0000,"경기도 화성시 만세구 향남읍 발안남로 41, 108호",발안종로약국,약국,자료미집계
272,약국,031-355-2959,"경기도 화성시 만세구 남양읍 시청로 6, 103호",열매약국,약국,자료미집계
273,약국,031-358-5233,"경기도 화성시 만세구 팔탄면 버들로 1239, 101호",석포중앙약국,약국,자료미집계
274,약국,031-358-7533,"경기도 화성시 만세구 우정읍 기아자동차로 535, 101호",기아종합약국,약국,자료미집계
275,약국,031-356-5132,경기도 화성시 만세구 송산면 사강로 192,신사강프라자약국,약국,자료미집계
276,약국,031-357-9871,"경기도 화성시 만세구 남양읍 남양로 829, 114호",남양나무약국,약국,자료미집계
277,약국,070-7630-7128,"경기도 화성시 만세구 향남읍 상신하길로298번길 11, 1동 1층 105호",향남대형약국,약국,자료미집계
278,약국,031-8050-0880,"경기도 화성시 만세구 꽃내음1길 19-6, 112호 (새솔동)",새솔포도약국,약국,자료미집계
279,약국,031-356-0506,"경기도 화성시 만세구 남양읍 남양로920번길 8-10, 105호",가까운약국,약국,자료미집계
280,약국,031-357-1751,"경기도 화성시 만세구 남양읍 남양로930번길 2-5, 102,103호",하나온누리약국,약국,자료미집계
281,약국,031-355-4879,"경기도 화성시 만세구 남양읍 시청로 7, 위너스프라자 106호",늘편한약국,약국,자료미집계
282,약국,031-355-4879,"경기도 화성시 만세구 남양읍 시청로 7, 위너스프라자 106호",늘편한약국,약국,자료미집계
283,약국,031-8059-8397,경기도 화성시 만세구 향남읍 발안로 422,동오사거리약국,약국,자료미집계
284,약국,031-357-8598,"경기도 화성시 만세구 수노을중앙로 118, 106~107호 (새솔동)",비타민온누리약국,약국,자료미집계
285,약국,031-355-0513,경기도 화성시 만세구 송산면 사강로 161,미래약국,약국,자료미집계
286,약국,031-355-4911,"경기도 화성시 만세구 남양읍 시청로160번길 46-13, 103,104호",남양우리약국,약국,자료미집계
287,약국,031-354-7485,"경기도 화성시 만세구 향남읍 상신하길로328번길 20, 104,105호호",향남열린약국,약국,자료미집계
288,약국,070-7746-9999,"경기도 화성시 만세구 향남읍 발안로 111, 101호",밝음약국,약국,자료미집계
289,약국,031-355-5241,"경기도 화성시 만세구 수노을중앙로 142, 105호 (새솔동)",새솔약국,약국,자료미집계
290,약국,031-358-7582,"경기도 화성시 만세구 장안면 3.1만세로 365, 대진빌딩",장안약국,약국,자료미집계
291,약국,031-354-8653,"경기도 화성시 만세구 향남읍 상신하길로 74, 1층 102.103호",한사랑약국,약국,자료미집계
292,약국,070-7576-2575,"경기도 화성시 만세구 남양읍 남양로920번길 12, 이현빌딩 107호",화성제일약국,약국,자료미집계
293,약국,031-354-6632,"경기도 화성시 만세구 향남읍 발안로 7, 1층",중앙메디컬약국,약국,자료미집계
294,약국,031-357-0183,"경기도 화성시 만세구 마도면 마도공단로1길 8, 마도지구유통업무및지원시설 가동 102호",공단시장약국,약국,자료미집계
295,약국,031-356-6797,"경기도 화성시 만세구 남양읍 남양성지로 139-1, 국제포인트 프라자 107호",유명온누리약국,약국,자료미집계
296,약국,031-352-2115,"경기도 화성시 만세구 향남읍 행정중앙2로 33, 성지프라자 3층 304호",초록약국,약국,자료미집계
297,약국,031-357-7235,경기도 화성시 만세구 마도면 화성로790번길 10,마도수정약국,약국,자료미집계
298,약국,031-357-8824,"경기도 화성시 만세구 남양읍 남양시장로 85, 1층",경희선제당한약국,한약국,자료미집계
299,약국,031-354-7637,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-27, 시티프라자 104호",시티약국,약국,자료미집계
300,약국,031-357-2219,"경기도 화성시 만세구 남양읍 남양로 671, 106호",오약국,약국,자료미집계
301,약국,031-358-7541,경기도 화성시 만세구 우정읍 기아자동차로 555,나이스오서약국,약국,자료미집계
302,약국,031-352-6187,"경기도 화성시 만세구 향남읍 행정중앙2로 69-17, 1층",참정든약국,약국,자료미집계
303,약국,031-354-6821,"경기도 화성시 만세구 향남읍 발안로 107, 106,107호 (태성프라자)",정직한마음약국,약국,자료미집계
304,약국,031-357-1155,"경기도 화성시 만세구 송산면 사강로 208, 104호 (대원프라자)",서울약국,약국,자료미집계
305,약국,031-353-0001,경기도 화성시 만세구 향남읍 삼천병마로 189,화성약국,약국,자료미집계
306,약국,031-353-9588,경기도 화성시 만세구 향남읍 발안로 3,중앙정문약국,약국,자료미집계
307,약국,031-356-7929,"경기도 화성시 만세구 남양읍 시청로 115, 임광프라자 108호",남양새봄약국,약국,자료미집계
308,약국,031-355-0217,경기도 화성시 만세구 송산면 송산포도로 102,송산약국,약국,자료미집계
309,약국,031-351-2314,"경기도 화성시 만세구 장안면 석포로 53, 나동 1층 104호",초원약국,약국,자료미집계
310,약국,031-353-2284,"경기도 화성시 만세구 향남읍 상신하길로328번길 26, 1층 108호 (키움프라자)",스마일온누리약국,약국,자료미집계
311,약국,031-355-7365,"경기도 화성시 만세구 남양읍 남양성지로 135, 3층 302호",기린약국,약국,자료미집계
312,약국,031-352-7221,경기도 화성시 만세구 양감면 초록로 6,양감약국,약국,자료미집계
313,약국,031-8059-1357,"경기도 화성시 만세구 향남읍 향남로 392, 102호 (우성메디피아)",우성약국,약국,자료미집계
314,약국,031-8059-1415,경기도 화성시 만세구 향남읍 행정중앙2로 39 (태성메디컬프라자),향남태평양온누리약국,약국,자료미집계
315,약국,031-356-8788,경기도 화성시 만세구 남양읍 남양성지로 113,성모프라자약국,약국,자료미집계
316,약국,031-8059-4203,경기도 화성시 만세구 향남읍 상신하길로298번길 7-21,향남메디컬약국,약국,자료미집계
317,약국,031-8059-3873,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-1, 1층 104호 (센타프라자)",향남프라자약국,약국,자료미집계
318,약국,031-354-3248,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-1, 3층 303호 (센타프라자)",조은맘 약국,약국,자료미집계
319,약국,031-355-3712,"경기도 화성시 만세구 남양읍 남양성지로 151, 현대프라자 103호",화성스마일약국,약국,자료미집계
320,약국,031-353-8370,"경기도 화성시 만세구 향남읍 발안로 9, 1,2,3호",중앙온누리약국,약국,자료미집계
321,약국,031-352-9591,"경기도 화성시 만세구 향남읍 행정서로3길 34-6, 1층",향남약국,약국,자료미집계
322,약국,031-357-9952,경기도 화성시 만세구 남양읍 남양시장로 80,새소망약국,약국,자료미집계
323,약국,031-358-3707,경기도 화성시 만세구 장안면 수정로 143,건강종합약국,약국,자료미집계
324,약국,031-366-1716,"경기도 화성시 만세구 향남읍 발안남로55번길 27, 101호 (센트럴월드)",발안남서약국,약국,자료미집계
325,약국,031-357-0516,경기도 화성시 만세구 남양읍 시청로 109,남양약국,약국,자료미집계
326,약국,031-359-9080,경기도 화성시 만세구 팔탄면 시청로 760,셀메드동아약국,약국,자료미집계
327,약국,031-355-8707,"경기도 화성시 만세구 남양읍 남양성지로 147, 104호 (아이리스프라자)",화성프라자약국,약국,자료미집계
328,약국,031-353-3684,경기도 화성시 만세구 향남읍 발안공단로 101,공단약국,약국,자료미집계
329,약국,031-366-5174,경기도 화성시 만세구 향남읍 향남로 402,플러스약국,약국,자료미집계
330,약국,031-353-5856,경기도 화성시 만세구 팔탄면 푸른들판로 670,건강제일약국,약국,자료미집계
331,약국,031-8059-1338,경기도 화성시 만세구 향남읍 행정중앙2로 63-3,향남사랑약국,약국,자료미집계
332,약국,031-8059-0037,경기도 화성시 만세구 향남읍 행정중앙1로 14,다사랑약국,약국,자료미집계
333,약국,031-366-1854,"경기도 화성시 만세구 양감면 정문송산로 160-2, 102호",현대약국,약국,자료미집계
334,약국,031-366-5031,"경기도 화성시 만세구 향남읍 발안로 116, 110호 (중앙프라자)",해든약국,약국,자료미집계
335,약국,031-355-5676,"경기도 화성시 만세구 남양읍 남양성지로 123, 103호 (삼기프라자)",건강낙원약국,약국,자료미집계
336,약국,031-356-2800,경기도 화성시 만세구 남양읍 남양성지로 143,남양하나약국,약국,자료미집계
337,약국,031-351-1780,경기도 화성시 만세구 우정읍 조암남로33번길  1,한솔약국,약국,자료미집계
338,약국,031-354-4576,"경기도 화성시 만세구 팔탄면 푸른들판로 953, 가동 1층",다산약국,약국,자료미집계
339,약국,031-351-0821,경기도 화성시 만세구 우정읍 조암남로 39,우진약국,약국,자료미집계
340,약국,031-358-7651,경기도 화성시 만세구 우정읍 조암남로 8,장우약국,약국,자료미집계
341,약국,031-358-8011,경기도 화성시 만세구 우정읍 조암서로 1,기산약국,약국,자료미집계
342,약국,031-354-8873,"경기도 화성시 만세구 향남읍 평1길 15, 102호",발안터미널약국,약국,자료미집계
343,약국,031-352-4242,경기도 화성시 만세구 향남읍 삼천병마로 177,대건약국,약국,자료미집계
344,약국,031-351-0483,경기도 화성시 만세구 우정읍 조암서로 3,조암약국,약국,자료미집계
345,약국,031-356-6152,경기도 화성시 만세구 남양읍 남양시장로 81,경기약국,약국,자료미집계
346,약국,031-353-0039,경기도 화성시 만세구 향남읍 평3길 19,회춘당약국,약국,자료미집계
347,약국,031-351-0533,경기도 화성시 만세구 우정읍 조암남로 12,대성약국,약국,자료미집계
348,약국,031-353-3823,경기도 화성시 만세구 향남읍 삼천병마로 207,한빛약국,약국,자료미집계
349,병원,031-297-8875,"경기도 화성시 효행구 봉담읍 삼천병마로 1283, 4,5,6층",나이스병원,병원,내과 신경과 외과 정형외과 신경외과 마취통증의학과 소아청소년과 영상의학과 진단검사의학과 재활의학과 가정의학과
350,병원,031-291-8331,경기도 화성시 효행구 매송면 화성로 2407-15,화성해인요양병원,요양병원(일반요양병원),정형외과 신경외과 심장혈관흉부외과 산부인과 가정의학과 한방내과 침구과
351,병원,031-295-2000,"경기도 화성시 효행구 봉담읍 상리2길 55, 6~8층",행복한방병원,한방병원,가정의학과 한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
352,의원,031-369-6269,경기도 화성시 효행구 봉담읍 동화새터길 109,효행구보건소,보건소,보건소
353,의원,031-369-2883,경기도 화성시 효행구 매송면 매송로 43,매송보건지소,보건지소,보건지소
354,의원,031-5189-2884,경기도 화성시 효행구 비봉로 71번길 1,비봉보건지소,보건지소,보건지소
355,의원,031-5189-7090,경기도 화성시 효행구 정남면 정남동로 355,정림보건진료소,보건진료소,보건진료소
356,의원,031-5189-7089,경기도 화성시 효행구 정남면 문학로 84,문학보건진료소,보건진료소,보건진료소
357,의원,031-5189-7081,경기도 화성시 효행구 남이로 241-3,유포보건진료소,보건진료소,보건진료소
358,의원,031-5189-7082,경기도 화성시 효행구 푸른들판로 1125번길 45,자안보건진료소,보건진료소,보건진료소
359,의원,031-223-1355,"경기도 화성시 효행구 융건로 91, B102호 (효행구 기안동, 풍성신미주아파트 쇼핑타운)",신미주가정의학과의원,의원,가정의학과 피부과 이비인후과 소아청소년과 내과
360,의원,031-222-2180,경기도 화성시 효행구 효행로265번길 14 (효행구 기안동),윤내과의원,의원,내과 소아청소년과 외과 이비인후과 피부과
361,의원,031-354-3977,경기도 화성시 효행구 정남면 만년로 467,정남의원,의원,내과 외과 정형외과 신경외과 소아청소년과 이비인후과 피부과 비뇨의학과 병리과
362,의원,031-352-9480,경기도 화성시 효행구 정남면 만년로 540,강남의원,의원,내과
363,의원,031-295-7505,"경기도 화성시 효행구 봉담읍 상리2길 51, 205호",봉담숲정신건강의학과의원,의원,정신건강의학과
364,의원,031-326-0775,"경기도 화성시 효행구 봉담읍 상리중심상가길 28-18, 5층 일부",미라보의원,의원,피부과
365,의원,031-895-4270,"경기도 화성시 효행구 봉담읍 상리2길 51, 401,402호",삼성위드유비뇨의학과의원,의원,비뇨의학과
366,의원,031-293-0911,"경기도 화성시 효행구 봉담읍 상리중심상가길 28-8, 5층 501~514호",화성이엠365의원,의원,응급의학과 가정의학과 재활의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 마취통증의학과 신경외과 정형외과 외과 신경과 내과
367,의원,031-305-3333,"경기도 화성시 효행구 봉담읍 상리2길 55, 어반센터프라자 3층 305,306,307,308,321,322,323호",봉담척마디의원,의원,재활의학과 마취통증의학과 신경외과 정형외과
368,의원,031-293-1275,"경기도 화성시 효행구 봉담읍 상리중심상가길 28-18, 화성 새마을금고 본점 MG빌딩 4층 402~403호",온가족소아청소년과의원,의원,가정의학과 피부과 이비인후과 소아청소년과 내과
369,의원,031-292-8288,"경기도 화성시 효행구 봉담읍 상리2길 55, 어반센터프라자 3층 301~304호",봉담장항외과의원,의원,소아청소년과 외과 내과
370,의원,031-295-1888,"경기도 화성시 효행구 봉담읍 상리2길 51, 3층",눈애안과의원,의원,안과
371,의원,031-297-9777,"경기도 화성시 효행구 봉담읍 상리2길 51, 602호",삼성로즈산부인과의원,의원,성형외과 비뇨의학과 산부인과
372,의원,031-292-7377,"경기도 화성시 효행구 봉담읍 상리2길 51, 7층",봉담정형외과의원,의원,정형외과 신경외과 재활의학과 마취통증의학과
373,의원,031-307-1000,"경기도 화성시 효행구 봉담읍 상리2길 55, 504~506호",봉담센트럴내과의원,의원,이비인후과 가정의학과 소아청소년과 내과
374,의원,031-304-5115,"경기도 화성시 효행구 봉담읍 상리2길 51, 603호",리멤버피부과의원,의원,피부과
375,의원,031-293-8922,"경기도 화성시 효행구 봉담읍 상리2길 55, 406~408호",가온이비인후과의원,의원,가정의학과 이비인후과 소아청소년과 내과
376,의원,031-305-8484,"경기도 화성시 효행구 봉담읍 상리2길 51, 403호",바른속내과의원,의원,가정의학과 이비인후과 소아청소년과 내과
377,의원,031-893-4520,"경기도 화성시 효행구 봉담읍 상리2길 55, 409~411호",미엔느의원,의원,성형외과 피부과 가정의학과
378,의원,031-295-5825,"경기도 화성시 효행구 봉담읍 상리2길 51, 502,503,504호",더열린이비인후과의원,의원,이비인후과
379,의원,031-297-9110,"경기도 화성시 효행구 봉담읍 삼천병마로 1283, 303,304호",엘정신건강의학과의원,의원,정신건강의학과
380,의원,031-297-9666,"경기도 화성시 효행구 봉담읍 상리1길 109, 2,3층",봉담이룸내과의원,의원,내과
381,의원,031-295-8275,"경기도 화성시 효행구 봉담읍 상리3길 43-12, 301~304,307~310호",봉담은혜내과의원,의원,가정의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 산부인과 정형외과 정신건강의학과 신경과 내과
382,의원,031-233-8275,"경기도 화성시 효행구 봉담읍 와우로 20, 3층 301호",다나이비인후과의원,의원,이비인후과
383,의원,031-548-1580,"경기도 화성시 효행구 봉담읍 매봉로 443, 301호",봉담도담소아청소년과의원,의원,내과 소아청소년과 이비인후과 피부과
384,의원,031-307-7588,"경기도 화성시 효행구 봉담읍 동화길 85, 6층 601,602호",김남윤통증의학과의원,의원,예방의학과 응급의학과 직업환경의학과 가정의학과 결핵과 재활의학과 진단검사의학과 병리과 방사선종양학과 영상의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 산부인과 마취통증의학과 성형외과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과
385,의원,031-224-3655,"경기도 화성시 효행구 봉담읍 와우로 24, 도원프라자 A동 301,302호",봉담삼육오웰의원,의원,응급의학과 가정의학과 재활의학과 영상의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 마취통증의학과 성형외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과
386,의원,031-298-7572,"경기도 화성시 효행구 봉담읍 동화길 81-10, 405호",성모키즈소아청소년과의원,의원,내과 소아청소년과 안과 이비인후과 피부과
387,의원,031-278-8833,"경기도 화성시 효행구 봉담읍 와우로 24, 도원프라자 4층 401,402호",웰봄비에프소아청소년과의원,의원,가정의학과 영상의학과 피부과 이비인후과 안과 소아청소년과 내과
388,의원,031-238-8708,"경기도 화성시 효행구 봉담읍 와우로 20, 3층 302,303호",삼성드림내과의원,의원,이비인후과 소아청소년과 정형외과 내과
389,의원,031-890-8275,"경기도 화성시 효행구 봉담읍 동화길 85, 206,207호",봉담제일안과의원,의원,안과
390,의원,031-302-8998,"경기도 화성시 효행구 봉담읍 동화길 85, 307-308호",고려힐링정신건강의학과의원,의원,정신건강의학과
391,의원,031-222-8210,"경기도 화성시 효행구 봉담읍 와우로73번길 6, 태천센타",와우맘소아청소년과의원,의원,피부과 이비인후과 소아청소년과
392,의원,031-221-5060,"경기도 화성시 효행구 봉담읍 와우로73번길 6, 태천센타 B110~ B112호",봉담맑은이비인후과의원,의원,이비인후과
393,의원,031-297-3595,"경기도 화성시 효행구 봉담읍 동화길 81-10, 2층",수아산부인과의원,의원,가정의학과 피부과 산부인과 외과
